Book-Title,Book-Author,ISBN,Year-Of-Publication,Image-URL-S,num_ratings,avg_rating
A Caribbean Mystery (Miss Marple Mysteries (Paperback)),Agatha Christie,0451199928,2001,http://images.amazon.com/images/P/0451199928.01.THUMBZZZ.jpg,8.0,5.5
Honku : The Zen Antidote to Road Rage,AARON NAPARSTEK,1400060265,2003,http://images.amazon.com/images/P/1400060265.01.THUMBZZZ.jpg,16.0,3.9375
"Grail (The Pendragon Cycle, Book 5)",Stephen R. Lawhead,0380781042,1998,http://images.amazon.com/images/P/0380781042.01.THUMBZZZ.jpg,11.0,3.4545454545454546
The Powerbook,Jeanette Winterson,0375411119,2000,http://images.amazon.com/images/P/0375411119.01.THUMBZZZ.jpg,10.0,1.3
Wolfwalker,Tara K. Harper,0345365399,1990,http://images.amazon.com/images/P/0345365399.01.THUMBZZZ.jpg,12.0,4.333333333333333
Emma (Wordsworth Classics),Jane Austen,1853260282,1997,http://images.amazon.com/images/P/1853260282.01.THUMBZZZ.jpg,40.0,3.3
The Moon by Night (Austin Family),Madeleine L'Engle,0440957761,1981,http://images.amazon.com/images/P/0440957761.01.THUMBZZZ.jpg,18.0,2.4444444444444446
One Day in the Life of Ivan Denisovich (Signet Classics (Paperback)),Alexander Solzhenitsyn,0451527097,1998,http://images.amazon.com/images/P/0451527097.01.THUMBZZZ.jpg,26.0,3.076923076923077
The Ghost Walker (Arapaho Indian Mysteries),Margaret Coel,0425159612,1997,http://images.amazon.com/images/P/0425159612.01.THUMBZZZ.jpg,10.0,1.4
The Eagle Catcher (Arapaho Indian Mysteries),Margaret Coel,0425154637,1996,http://images.amazon.com/images/P/0425154637.01.THUMBZZZ.jpg,20.0,2.6
The Telling,Ursula K. Le Guin,0441008631,2001,http://images.amazon.com/images/P/0441008631.01.THUMBZZZ.jpg,10.0,4.3
X-Men Planet X (Star Trek The Next Generation),Michael Jan Friedman,0671019163,1998,http://images.amazon.com/images/P/0671019163.01.THUMBZZZ.jpg,12.0,2.75
"Lovelock (The Mayflower Trilogy, Book 1)",Orson Scott Card,0812518055,1995,http://images.amazon.com/images/P/0812518055.01.THUMBZZZ.jpg,10.0,1.4
Dragons in the Waters (Laurel Leaf Books),Madeleine L'Engle,0440917190,1982,http://images.amazon.com/images/P/0440917190.01.THUMBZZZ.jpg,17.0,2.5294117647058822
The Black Cauldron (Laurel-Leaf Books),Lloyd Alexander,0440906490,1985,http://images.amazon.com/images/P/0440906490.01.THUMBZZZ.jpg,12.0,2.0
"Infiltrator (Star Trek: The Next Generation, Book 42)",W.R. Thompson,0671568310,1996,http://images.amazon.com/images/P/0671568310.01.THUMBZZZ.jpg,11.0,1.6363636363636365
Appointment With Death: A Hercule Poirot Mystery (Hercule Poirot Mysteries (Paperback)),Agatha Christie,0425108589,2001,http://images.amazon.com/images/P/0425108589.01.THUMBZZZ.jpg,17.0,3.0588235294117645
Jupiter : A Novel (The Grand Tour),Ben Bova,0812579410,2002,http://images.amazon.com/images/P/0812579410.01.THUMBZZZ.jpg,9.0,2.7777777777777777
DELUSIONS OF GRANDMA : DELUSIONS OF GRANDMA,Angela Fisher,0671738623,1995,http://images.amazon.com/images/P/0671738623.01.THUMBZZZ.jpg,17.0,1.2352941176470589
Secrets of the Vine: Breaking Through to Abundance,Bruce Wilkinson,1576739759,2001,http://images.amazon.com/images/P/1576739759.01.THUMBZZZ.jpg,19.0,3.8947368421052633
Flowers in the Rain &amp; Other Stories,Rosamunde Pilcher,0312927746,1992,http://images.amazon.com/images/P/0312927746.01.THUMBZZZ.jpg,28.0,3.0357142857142856
CHOCOLATE FOR A WOMAN'S SPIRIT : 77 STORIES OF INSPIRATION TO LIFT YOUR HEART AND SOOTH YOUR SOUL (Chocolate),Kay Allenbaugh,068484897X,1999,http://images.amazon.com/images/P/068484897X.01.THUMBZZZ.jpg,8.0,2.5
Joy School,ELIZABETH BERG,0679449434,1997,http://images.amazon.com/images/P/0679449434.01.THUMBZZZ.jpg,17.0,2.3529411764705883
Lost Highways,Curtiss Matlock,1551664992,1999,http://images.amazon.com/images/P/1551664992.01.THUMBZZZ.jpg,12.0,1.75
Singing in the Comeback Choir,Bebe Moore Campbell,0399142983,1998,http://images.amazon.com/images/P/0399142983.01.THUMBZZZ.jpg,21.0,2.1904761904761907
Trial,Clifford Irving,0440210178,1991,http://images.amazon.com/images/P/0440210178.01.THUMBZZZ.jpg,11.0,0.45454545454545453
Team Yankee: A Novel of World War III,Harold Coyle,0425110427,1994,http://images.amazon.com/images/P/0425110427.01.THUMBZZZ.jpg,23.0,1.6521739130434783
WINDS OF WAR,Herman Wouk,0671463195,1983,http://images.amazon.com/images/P/0671463195.01.THUMBZZZ.jpg,18.0,1.5
The Businessman: A Tale of Terror,Thomas M. Disch,0425137465,1993,http://images.amazon.com/images/P/0425137465.01.THUMBZZZ.jpg,11.0,1.4545454545454546
To See/Face Again,Eugenia Price,0425092038,1986,http://images.amazon.com/images/P/0425092038.01.THUMBZZZ.jpg,8.0,1.25
Cordina'S Royal Family,Nora Roberts,0373484836,2002,http://images.amazon.com/images/P/0373484836.01.THUMBZZZ.jpg,49.0,2.857142857142857
Cordina's Crown Jewel,Nora Roberts,0373244487,2002,http://images.amazon.com/images/P/0373244487.01.THUMBZZZ.jpg,95.0,1.9894736842105263
A Song Flung Up to Heaven,Maya Angelou,0375507477,2002,http://images.amazon.com/images/P/0375507477.01.THUMBZZZ.jpg,15.0,2.8
Riven Rock,T. C. Boyle,0670878812,1998,http://images.amazon.com/images/P/0670878812.01.THUMBZZZ.jpg,17.0,1.7647058823529411
Finding the Dream,Nora Roberts,0515120871,1997,http://images.amazon.com/images/P/0515120871.01.THUMBZZZ.jpg,65.0,2.0615384615384613
Irresistible (Banning Sisters Trilogy),Karen Robards,0743410602,2002,http://images.amazon.com/images/P/0743410602.01.THUMBZZZ.jpg,24.0,2.4583333333333335
In the Year of the Boar and Jackie Robinson,Bette Bao Lord,0064401758,1986,http://images.amazon.com/images/P/0064401758.01.THUMBZZZ.jpg,11.0,2.1818181818181817
The Immortals,Michael Korda,038072099X,1993,http://images.amazon.com/images/P/038072099X.01.THUMBZZZ.jpg,13.0,1.6923076923076923
When I Think of You,Liz Ireland,0821771167,2002,http://images.amazon.com/images/P/0821771167.01.THUMBZZZ.jpg,12.0,2.9166666666666665
Was It Something I Said,Valerie Block,0671025864,1998,http://images.amazon.com/images/P/0671025864.01.THUMBZZZ.jpg,18.0,1.9444444444444444
The Winston Brothers,Lori Foster,0515131733,2001,http://images.amazon.com/images/P/0515131733.01.THUMBZZZ.jpg,13.0,4.0
Smoker,Greg Rucka,0553578294,1999,http://images.amazon.com/images/P/0553578294.01.THUMBZZZ.jpg,12.0,1.0833333333333333
Irish Girls About Town: An Anthology of Short Stories,Maeve Binchy,0743457463,2003,http://images.amazon.com/images/P/0743457463.01.THUMBZZZ.jpg,31.0,2.225806451612903
"Necessary Losses: The Loves, Illusions, Dependencies, and Impossible Expectations That All of Us Have to Give Up in Order to Grow",Judith Viorst,0684844958,1998,http://images.amazon.com/images/P/0684844958.01.THUMBZZZ.jpg,8.0,0.0
The Demon Lover,Victoria Holt,0449200981,1989,http://images.amazon.com/images/P/0449200981.01.THUMBZZZ.jpg,9.0,0.0
The Man from St. Petersburg (#1 Author's Classic Spy Thriller),Ken Follett,0451163516,1991,http://images.amazon.com/images/P/0451163516.01.THUMBZZZ.jpg,34.0,2.5294117647058822
The Greenlanders,Jane Smiley,044991089X,1996,http://images.amazon.com/images/P/044991089X.01.THUMBZZZ.jpg,13.0,2.769230769230769
The Loop: A Novel,Nicholas Evans,038531700X,1998,http://images.amazon.com/images/P/038531700X.01.THUMBZZZ.jpg,63.0,2.873015873015873
Dave Barry's Complete Guide to Guys,DAVE BARRY,0449910261,1996,http://images.amazon.com/images/P/0449910261.01.THUMBZZZ.jpg,12.0,2.9166666666666665
Firefly,Piers Anthony,0380759500,1992,http://images.amazon.com/images/P/0380759500.01.THUMBZZZ.jpg,21.0,3.857142857142857
Merchant of Venice (New Folger Library Shakespeare (Paperback)),William Shakespeare,0671722778,1992,http://images.amazon.com/images/P/0671722778.01.THUMBZZZ.jpg,14.0,4.571428571428571
Life's Little Destruction Book,Charles Sherwood Dane,0312929277,1994,http://images.amazon.com/images/P/0312929277.01.THUMBZZZ.jpg,9.0,3.4444444444444446
The Sun Also Rises (A Scribner classic),Ernest Hemingway,0020518706,1982,http://images.amazon.com/images/P/0020518706.01.THUMBZZZ.jpg,21.0,4.095238095238095
Clear Your Clutter With Feng Shui,Karen Kingston,0767903595,1999,http://images.amazon.com/images/P/0767903595.01.THUMBZZZ.jpg,28.0,2.7857142857142856
Theft: A Novella,Saul Bellow,0140119698,1989,http://images.amazon.com/images/P/0140119698.01.THUMBZZZ.jpg,11.0,1.1818181818181819
The Celestine Prophecy : AN EXPERIENTIAL GUIDE,Carol Adrienne,0446671223,1995,http://images.amazon.com/images/P/0446671223.01.THUMBZZZ.jpg,32.0,1.375
Samantha Learns a Lesson: A School Story (American Girls Collection (Paper)),Susan S. Adler,0937295132,1986,http://images.amazon.com/images/P/0937295132.01.THUMBZZZ.jpg,10.0,2.2
The Nine Month Plan,Wendy Markham,0446611751,2003,http://images.amazon.com/images/P/0446611751.01.THUMBZZZ.jpg,27.0,1.9259259259259258
O Pioneers! (Dover Thrift Editions),Willa Cather,0486277852,1993,http://images.amazon.com/images/P/0486277852.01.THUMBZZZ.jpg,17.0,3.4705882352941178
The Courage to Be Rich: Creating a Life of Material and Spiritual Abundance,Suze Orman,1573221252,1999,http://images.amazon.com/images/P/1573221252.01.THUMBZZZ.jpg,14.0,2.5714285714285716
Ella Minnow Pea: A Progressively Lipogrammatic Epistolary Fable,Mark Dunn,0967370167,2001,http://images.amazon.com/images/P/0967370167.01.THUMBZZZ.jpg,21.0,4.857142857142857
The Last Best Hope (Matthew Hope Mysteries (Paperback)),Ed McBain,0446519901,1998,http://images.amazon.com/images/P/0446519901.01.THUMBZZZ.jpg,12.0,0.9166666666666666
Nectar in a Sieve,Kamala Markandaya,0451168364,1998,http://images.amazon.com/images/P/0451168364.01.THUMBZZZ.jpg,24.0,3.0833333333333335
The Sewing Circle: Hollywood's Greatest Secret : Female Stars Who Loved Other Women,Axel Madsen,1559722754,1995,http://images.amazon.com/images/P/1559722754.01.THUMBZZZ.jpg,14.0,0.7142857142857143
"Uncle Tom's Cabin: Or, Life Among the Lowly (Signet Classics (Paperback))",Harriet Beecher Stowe,0451526708,1998,http://images.amazon.com/images/P/0451526708.01.THUMBZZZ.jpg,11.0,3.3636363636363638
Sharp Edges,Jayne Ann Krentz,0671524097,1998,http://images.amazon.com/images/P/0671524097.01.THUMBZZZ.jpg,32.0,1.90625
Night Work: A Kate Martinelli Mystery (Kate Martinelli Mysteries),Laurie R. King,0553578251,2000,http://images.amazon.com/images/P/0553578251.01.THUMBZZZ.jpg,16.0,2.3125
The Book of Questions: Love &amp; Sex,Gregory Stock,089480619X,1989,http://images.amazon.com/images/P/089480619X.01.THUMBZZZ.jpg,18.0,2.0
The Unbearable Lightness of Being : A Novel (Perennial Classics),Milan Kundera,0060932139,1999,http://images.amazon.com/images/P/0060932139.01.THUMBZZZ.jpg,52.0,3.4615384615384617
Waiting for the Rain,SHEILA GORDON,0553279114,1989,http://images.amazon.com/images/P/0553279114.01.THUMBZZZ.jpg,8.0,2.0
A Sand County Almanac (Outdoor Essays &amp; Reflections),Aldo Leopold,0345345053,1990,http://images.amazon.com/images/P/0345345053.01.THUMBZZZ.jpg,23.0,4.086956521739131
Daniel's Story,Carol Matas,0590465880,1993,http://images.amazon.com/images/P/0590465880.01.THUMBZZZ.jpg,8.0,1.125
About the Author: A Novel,John Colapinto,0060194170,2001,http://images.amazon.com/images/P/0060194170.01.THUMBZZZ.jpg,8.0,4.625
Just Desserts (Bed-And-Breakfast Mysteries (Paperback)),Mary Daheim,0380762951,1999,http://images.amazon.com/images/P/0380762951.01.THUMBZZZ.jpg,20.0,1.5
Angels in America: A Gay Fantasia on National Themes : Perestroika (Angels in America),Tony Kushner,1559360739,1994,http://images.amazon.com/images/P/1559360739.01.THUMBZZZ.jpg,8.0,2.25
Angels in America: Millennium Approaches (Angels in America),Tony Kushner,1559360615,1993,http://images.amazon.com/images/P/1559360615.01.THUMBZZZ.jpg,17.0,4.823529411764706
"Death in Venice, and Seven Other Stories (Vintage International)",Thomas Mann,0679722068,1989,http://images.amazon.com/images/P/0679722068.01.THUMBZZZ.jpg,16.0,0.75
Public Enemies : The Host of America's Most Wanted Targets the Nation's Most Notorious Criminals,John Walsh,0671019961,2002,http://images.amazon.com/images/P/0671019961.01.THUMBZZZ.jpg,8.0,5.125
Caribbean,James A. Michener,0449217493,1991,http://images.amazon.com/images/P/0449217493.01.THUMBZZZ.jpg,51.0,2.5098039215686274
Breaking the Surface,Greg Louganis,0679437037,1995,http://images.amazon.com/images/P/0679437037.01.THUMBZZZ.jpg,14.0,2.0
Anne Frank in the World,Anne Frank House,037581177X,2001,http://images.amazon.com/images/P/037581177X.01.THUMBZZZ.jpg,9.0,3.3333333333333335
Diary of a Young Girl: The Definitive Editon,Anne Frank,0385480334,1996,http://images.amazon.com/images/P/0385480334.01.THUMBZZZ.jpg,21.0,3.2857142857142856
Finding Moon,Tony Hillerman,0061092614,1996,http://images.amazon.com/images/P/0061092614.01.THUMBZZZ.jpg,52.0,3.326923076923077
Covenant,James Michener,0449244741,1982,http://images.amazon.com/images/P/0449244741.01.THUMBZZZ.jpg,32.0,1.96875
Murder at the Palace,Elliott Roosevelt,0380704056,1989,http://images.amazon.com/images/P/0380704056.01.THUMBZZZ.jpg,9.0,0.5555555555555556
CENTENNIAL 1,James A. Michener,0449234940,1982,http://images.amazon.com/images/P/0449234940.01.THUMBZZZ.jpg,13.0,1.3846153846153846
Widow's Walk,Robert B. Parker,042518904X,2003,http://images.amazon.com/images/P/042518904X.01.THUMBZZZ.jpg,43.0,3.0697674418604652
Lust Killer (Signet True Crime S.),Ann Rule,0451166876,1995,http://images.amazon.com/images/P/0451166876.01.THUMBZZZ.jpg,23.0,2.739130434782609
The Glass Palace: A Novel,Amitav Ghosh,0375758771,2002,http://images.amazon.com/images/P/0375758771.01.THUMBZZZ.jpg,15.0,4.133333333333334
"More Tales of the City (Maupin, Armistead. Tales of the City Series, V. 2.)",Armistead Maupin,0060924799,1994,http://images.amazon.com/images/P/0060924799.01.THUMBZZZ.jpg,20.0,3.35
The Daughters of Cain,Colin Dexter,0804113645,1996,http://images.amazon.com/images/P/0804113645.01.THUMBZZZ.jpg,12.0,2.5833333333333335
BETHANY'S SIN,Robert McCammon,0671664824,1988,http://images.amazon.com/images/P/0671664824.01.THUMBZZZ.jpg,8.0,0.0
In the Electric Mist with Confederate Dead,James L. Burke,038072121X,1994,http://images.amazon.com/images/P/038072121X.01.THUMBZZZ.jpg,25.0,2.96
The Mammoth Book of Comic Fantasy,Michael Ashley,0786705337,1998,http://images.amazon.com/images/P/0786705337.01.THUMBZZZ.jpg,13.0,1.6923076923076923
Privateers,Ben Bova,0812532236,1986,http://images.amazon.com/images/P/0812532236.01.THUMBZZZ.jpg,11.0,1.4545454545454546
West of Eden,Harry Harrison,0553249355,1985,http://images.amazon.com/images/P/0553249355.01.THUMBZZZ.jpg,8.0,1.0
Phule Me Twice,Robert L. Asprin,0441007910,2000,http://images.amazon.com/images/P/0441007910.01.THUMBZZZ.jpg,16.0,3.0625
Cyber Way,Alan Dean Foster,0441132456,1990,http://images.amazon.com/images/P/0441132456.01.THUMBZZZ.jpg,18.0,3.111111111111111
Warriors Don't Cry (Archway Paperback),Melba Patillo Beals,0671899007,1995,http://images.amazon.com/images/P/0671899007.01.THUMBZZZ.jpg,10.0,2.3
Cosm,Gregory Benford,0380790521,1999,http://images.amazon.com/images/P/0380790521.01.THUMBZZZ.jpg,10.0,1.7
Garden of Rama,Arthur C. Clarke,0553298178,1992,http://images.amazon.com/images/P/0553298178.01.THUMBZZZ.jpg,37.0,2.324324324324324
The Last Aerie (Necroscope: Vampire World Trilogy),Brian Lumley,0812520629,1994,http://images.amazon.com/images/P/0812520629.01.THUMBZZZ.jpg,9.0,1.7777777777777777
The Eagle and the Raven,James A. Michener,0812513010,1991,http://images.amazon.com/images/P/0812513010.01.THUMBZZZ.jpg,13.0,0.38461538461538464
Chesapeake -4,Michener A.,0449241637,1982,http://images.amazon.com/images/P/0449241637.01.THUMBZZZ.jpg,11.0,1.3636363636363635
Body of Intuition,Claire Daniels,0425187403,2002,http://images.amazon.com/images/P/0425187403.01.THUMBZZZ.jpg,8.0,2.875
The Snapper,Roddy Doyle,0140171673,1993,http://images.amazon.com/images/P/0140171673.01.THUMBZZZ.jpg,13.0,2.6923076923076925
Contents Under Pressure : A Britt Montero Novel (Britt Montero Mysteries),Edna Buchanan,0380722607,1999,http://images.amazon.com/images/P/0380722607.01.THUMBZZZ.jpg,17.0,0.47058823529411764
French Kiss,ERIC VAN LUSTBADER,044921849X,1989,http://images.amazon.com/images/P/044921849X.01.THUMBZZZ.jpg,8.0,0.875
Hooligans,WILLIAM DIEHL,0345312015,1985,http://images.amazon.com/images/P/0345312015.01.THUMBZZZ.jpg,24.0,1.2083333333333333
Shan,Eric Lustbader,0449205983,1991,http://images.amazon.com/images/P/0449205983.01.THUMBZZZ.jpg,13.0,0.0
Who's Afraid of Virginia Woolf?,Edward Albee,0451158717,1988,http://images.amazon.com/images/P/0451158717.01.THUMBZZZ.jpg,25.0,3.4
The Indispensable Calvin And Hobbes,Bill Watterson,0836218981,1992,http://images.amazon.com/images/P/0836218981.01.THUMBZZZ.jpg,26.0,6.115384615384615
Bonjour Tristesse,Francoise Sagan,0066211697,2001,http://images.amazon.com/images/P/0066211697.01.THUMBZZZ.jpg,9.0,1.6666666666666667
Death in a Tenured Position (Kate Fansler Novels (Paperback)),Amanda Cross,0345340418,1995,http://images.amazon.com/images/P/0345340418.01.THUMBZZZ.jpg,25.0,2.16
The Source,James A. Michener,0449211479,1992,http://images.amazon.com/images/P/0449211479.01.THUMBZZZ.jpg,41.0,3.1463414634146343
The Puppet Masters,Robert A. Heinlein,0345330145,1994,http://images.amazon.com/images/P/0345330145.01.THUMBZZZ.jpg,17.0,3.764705882352941
MAN KZIN WARS III,Larry Niven,0671720082,1990,http://images.amazon.com/images/P/0671720082.01.THUMBZZZ.jpg,9.0,1.7777777777777777
"Rage of a Demon King (Serpentwar Saga , Vol 3)",Raymond E. Feist,0380720884,1998,http://images.amazon.com/images/P/0380720884.01.THUMBZZZ.jpg,11.0,1.2727272727272727
The Woods Out Back,R. A. Salvatore,0441908721,1996,http://images.amazon.com/images/P/0441908721.01.THUMBZZZ.jpg,8.0,2.75
"In Danger's Path (Griffin, W. E. B. Corps, Bk. 8.)",W. E. B. Griffin,0515126985,1999,http://images.amazon.com/images/P/0515126985.01.THUMBZZZ.jpg,17.0,1.9411764705882353
Genome,Matt Ridley,0060932902,2000,http://images.amazon.com/images/P/0060932902.01.THUMBZZZ.jpg,14.0,5.714285714285714
The Covenant,James A. Michener,0394505050,1980,http://images.amazon.com/images/P/0394505050.01.THUMBZZZ.jpg,9.0,1.5555555555555556
"At Swim, Two Boys",Jamie O'Neill,0743222946,2002,http://images.amazon.com/images/P/0743222946.01.THUMBZZZ.jpg,11.0,3.0
The Adventures of Super Diaper Baby: The First Graphic Novel,Dav Pilkey,0439376068,2002,http://images.amazon.com/images/P/0439376068.01.THUMBZZZ.jpg,15.0,2.066666666666667
An Italian in America,Beppe Severgnini,8817125539,2001,http://images.amazon.com/images/P/8817125539.01.THUMBZZZ.jpg,15.0,1.6
Was,Geoff Ryman,0140178724,1993,http://images.amazon.com/images/P/0140178724.01.THUMBZZZ.jpg,18.0,4.055555555555555
Emily Dickinson Is Dead: A Homer Kelly Mystery,Jane Langton,0140077715,1985,http://images.amazon.com/images/P/0140077715.01.THUMBZZZ.jpg,9.0,1.6666666666666667
DEVIL IN A BLUE DRESS : An Easy Rawlins Mystery (Easy Rawlins Mysteries (Paperback)),Walter Mosley,0671740504,1991,http://images.amazon.com/images/P/0671740504.01.THUMBZZZ.jpg,20.0,2.1
Kat's Cradle (Kat Colorado Mysteries),Karen Kijewski,0553293915,1992,http://images.amazon.com/images/P/0553293915.01.THUMBZZZ.jpg,21.0,2.380952380952381
Encounter at Farpoint (Star Trek: The Next Generation),David Gerrold,0671743880,1991,http://images.amazon.com/images/P/0671743880.01.THUMBZZZ.jpg,12.0,2.5
"A Flag Full of Stars (Star Trek, Book 54)",Brad Ferguson,0671739182,1991,http://images.amazon.com/images/P/0671739182.01.THUMBZZZ.jpg,11.0,0.6363636363636364
"Ragnarok (Star Trek Voyager, No 3)",Nathan Archer,067152044X,1995,http://images.amazon.com/images/P/067152044X.01.THUMBZZZ.jpg,12.0,1.1666666666666667
"The Big Game (Star Trek Deep Space Nine, No 4)",Sandy Schofield,0671880306,1993,http://images.amazon.com/images/P/0671880306.01.THUMBZZZ.jpg,9.0,3.5555555555555554
"Boogeyman (Star Trek: The Next Generation, No. 17)",Mel Gilden,0671709704,1991,http://images.amazon.com/images/P/0671709704.01.THUMBZZZ.jpg,25.0,2.12
"Violations (Star Trek Voyager, No 4)",Susan Wright,0671520466,1995,http://images.amazon.com/images/P/0671520466.01.THUMBZZZ.jpg,10.0,1.7
Descent (Star Trek: The Next Generation),Diane Carey,0671882678,1993,http://images.amazon.com/images/P/0671882678.01.THUMBZZZ.jpg,15.0,3.466666666666667
"The Escape (Star Trek Voyager, No 2)",Dean Wesley Smith,0671520962,1995,http://images.amazon.com/images/P/0671520962.01.THUMBZZZ.jpg,12.0,1.0833333333333333
"Incident at Arbuk (Star Trek Voyager, No 5)",John Gregory Betancourt,0671520482,1995,http://images.amazon.com/images/P/0671520482.01.THUMBZZZ.jpg,11.0,0.7272727272727273
"Sins of Commission (Star Trek The Next Generation, No 29)",Susan Wright,0671797042,1994,http://images.amazon.com/images/P/0671797042.01.THUMBZZZ.jpg,17.0,1.5294117647058822
"Bloodletter (Star Trek Deep Space Nine, No 3)",K.W. Jeter,0671872753,1993,http://images.amazon.com/images/P/0671872753.01.THUMBZZZ.jpg,11.0,2.0
"Objective : Bajor (Star Trek: Deep Space Nine, No 15)",John Peel,0671568116,1996,http://images.amazon.com/images/P/0671568116.01.THUMBZZZ.jpg,8.0,0.875
"Rogue Saucer (Star Trek the Next Generation, No. 39)",John Vornholt,0671549170,1996,http://images.amazon.com/images/P/0671549170.01.THUMBZZZ.jpg,11.0,2.8181818181818183
"The Captain's Daughter (Star Trek, Book 76)",Peter David,0671520474,1995,http://images.amazon.com/images/P/0671520474.01.THUMBZZZ.jpg,19.0,2.1578947368421053
"Caretaker (Star Trek Voyager, No 1)",L.A. Graf,067151914X,1995,http://images.amazon.com/images/P/067151914X.01.THUMBZZZ.jpg,19.0,1.7894736842105263
Probe (Star Trek),Margeret Wander Bonanno,067179065X,1993,http://images.amazon.com/images/P/067179065X.01.THUMBZZZ.jpg,13.0,1.0
"Exiles (Star Trek The Next Generation, No 14)",Howard Weinstein,0671705601,1990,http://images.amazon.com/images/P/0671705601.01.THUMBZZZ.jpg,19.0,1.3157894736842106
"The Last Stand (Star Trek The Next Generation, No 37)",Brad Ferguson,0671501054,1995,http://images.amazon.com/images/P/0671501054.01.THUMBZZZ.jpg,9.0,1.3333333333333333
"The Romulan Stratagem (Star Trek The Next Generation, No 35)",Robert Greenberger,0671879979,1995,http://images.amazon.com/images/P/0671879979.01.THUMBZZZ.jpg,10.0,1.6
Eyes,Joseph Glass,0449005127,1999,http://images.amazon.com/images/P/0449005127.01.THUMBZZZ.jpg,9.0,3.4444444444444446
"Gulliver's Fugitives (Star Trek The Next Generation, No 11)",Keith Sharee,0671741438,1991,http://images.amazon.com/images/P/0671741438.01.THUMBZZZ.jpg,12.0,3.0
"The Trellisane Confrontation (Star Trek, No 14)",David Dvorkin,0671465430,1984,http://images.amazon.com/images/P/0671465430.01.THUMBZZZ.jpg,11.0,2.0
The Players Come Again (Kate Fansler Novels (Paperback)),AMANDA CROSS,034536998X,1991,http://images.amazon.com/images/P/034536998X.01.THUMBZZZ.jpg,19.0,1.3157894736842106
Baltimore Blues (Tess Monaghan Mysteries (Paperback)),Laura Lippman,0380788756,1997,http://images.amazon.com/images/P/0380788756.01.THUMBZZZ.jpg,25.0,3.04
A Brilliant Madness: Living With Manic-Depressive Illness,Patty Duke,0553560727,1993,http://images.amazon.com/images/P/0553560727.01.THUMBZZZ.jpg,14.0,2.5714285714285716
Meditations for Women Who Do Too Much - 10th Anniversary,Anne Wilson Schaef,0062548662,1990,http://images.amazon.com/images/P/0062548662.01.THUMBZZZ.jpg,35.0,2.342857142857143
Business @ the Speed of Thought : Using a Digital Nervous System,Bill Gates,0446525685,1999,http://images.amazon.com/images/P/0446525685.01.THUMBZZZ.jpg,14.0,1.1428571428571428
Black Odyssey: The Case of the Slave Ship Amistad,Mary Cable,0140046941,1998,http://images.amazon.com/images/P/0140046941.01.THUMBZZZ.jpg,16.0,2.125
Of Human Bondage (Bantam Classic),W. Somerset Maugham,055321392X,1991,http://images.amazon.com/images/P/055321392X.01.THUMBZZZ.jpg,11.0,5.818181818181818
Antigone (French Language Edition),Jean Anouilh,2710300257,1946,http://images.amazon.com/images/P/2710300257.01.THUMBZZZ.jpg,12.0,4.083333333333333
Up Island: A Novel,Anne Rivers Siddons,006109921X,1998,http://images.amazon.com/images/P/006109921X.01.THUMBZZZ.jpg,89.0,1.8764044943820224
FALLING FREE,Lois McMaster Bujold,0671653989,1988,http://images.amazon.com/images/P/0671653989.01.THUMBZZZ.jpg,13.0,1.3846153846153846
The Lesson of Her Death,Jeffery Wilds Deaver,0553560204,1994,http://images.amazon.com/images/P/0553560204.01.THUMBZZZ.jpg,34.0,2.3529411764705883
Inadmissible Evidence: A Novel,Philip Friedman,1556113307,1992,http://images.amazon.com/images/P/1556113307.01.THUMBZZZ.jpg,8.0,2.0
"The Mother-Daughter Book Club: How Ten Busy Mothers and Daughters Came Together to Talk, Laugh and Learn Through Their Love of Reading",Shireen Dodson,0060952423,1997,http://images.amazon.com/images/P/0060952423.01.THUMBZZZ.jpg,8.0,5.125
The Ghost from the Grand Banks,Arthur C. Clarke,0553293877,1992,http://images.amazon.com/images/P/0553293877.01.THUMBZZZ.jpg,16.0,1.8125
Lake Wobegon: Summer 1956,Garrison Keillor,0670030031,2001,http://images.amazon.com/images/P/0670030031.01.THUMBZZZ.jpg,25.0,4.12
FOOD : Mendel to Monsanto--The Promises and Perils of the Biotech Harvest,Susan Powter,0671892258,1995,http://images.amazon.com/images/P/0671892258.01.THUMBZZZ.jpg,8.0,2.875
Jack and Jill: A Novel,James Patterson,0316693715,1996,http://images.amazon.com/images/P/0316693715.01.THUMBZZZ.jpg,29.0,3.1724137931034484
The Laws of Our Fathers,Scott Turow,0374184232,1996,http://images.amazon.com/images/P/0374184232.01.THUMBZZZ.jpg,25.0,2.04
Gal: A True Life,Ruthie Bolton,0451406273,1995,http://images.amazon.com/images/P/0451406273.01.THUMBZZZ.jpg,13.0,1.7692307692307692
James Herriot's Favorite Dog Stories,James Herriot,0312146310,1996,http://images.amazon.com/images/P/0312146310.01.THUMBZZZ.jpg,20.0,3.75
Dying for Chocolate (Culinary Mysteries (Hardcover)),Diane Mott Davidson,055308576X,1992,http://images.amazon.com/images/P/055308576X.01.THUMBZZZ.jpg,15.0,2.6
Special Circumstances,SHELDON SIEGEL,0553581929,2001,http://images.amazon.com/images/P/0553581929.01.THUMBZZZ.jpg,44.0,1.9772727272727273
Scavenger,Tom Savage,0451200284,2000,http://images.amazon.com/images/P/0451200284.01.THUMBZZZ.jpg,21.0,2.238095238095238
